Metric,LSH,Cube,GNNS,MRNG
Accuracy,0.43,0.41,0.99,0.96
AF,1.07965,1.07865,1.0005,1.00265
MAF,1.53761,1.50619,1.04987,1.1488
RTime,0.392754,0.297965,9.86838,1.70577
Accuracy,0.53,0.45,0.96,1
AF,1.06303,1.08106,1.00721,1
MAF,1.49988,1.6383,1.32948,1
RTime,0.296904,0.281078,4.07788,4.03662
Accuracy,0.58,0.68,0.94,1
AF,1.04124,1.04367,1.00318,1
MAF,1.30665,2.15926,1.10997,1
RTime,0.259017,0.547424,2.35544,6.98697
Accuracy,0.53,0.49,0.91,1
AF,1.03765,1.06449,1.00961,1
MAF,1.34588,1.43954,1.32948,1
RTime,0.199202,0.258292,1.31889,13.4609
Accuracy,0.66,0.78,0.9,1
AF,1.0257,1.02223,1.00688,1
MAF,1.2291,1.78614,1.16141,1
RTime,0.236076,0.618251,0.596868,1.00106
Accuracy,0.61,0.6,0.89,1
AF,1.03797,1.05397,1.00538,1
MAF,1.49811,1.4582,1.11744,1
RTime,0.227903,0.229437,0.331126,0.473145
Accuracy,0.67,0.61,0.93,1
AF,1.03389,1.0353,1.00908,1
MAF,1.37053,1.33001,1.39961,1
RTime,0.202808,0.251753,0.184025,0.258411
Accuracy,0.7,0.6,0.85,1
AF,1.02617,1.03997,1.02101,1
MAF,1.33001,1.38441,1.46646,1
RTime,0.219047,0.214719,0.139515,0.190149
Accuracy,0.68,0.36,0.83,1
AF,1.02047,1.0851,1.01339,1
MAF,1.21021,1.49387,1.40187,1
RTime,0.332453,0.177433,0.112851,0.136808
Accuracy,0.79,0.43,0.84,1
AF,1.01157,1.07183,1.02372,1
MAF,1.17352,1.61672,1.67522,1
RTime,0.333786,0.111545,0.077282,0.089205
